hit_id,x,y,z,volume_id,layer_id,module_id
1,-82.1054,-14.1104,-1502.5,7,2,1
2,-65.6154,-10.7061,-1502.5,7,2,1
3,-67.3305,-3.96992,-1502.5,7,2,1
4,-62.5691,-3.19396,-1502.5,7,2,1
5,-66.2218,-4.43438,-1502.5,7,2,1
6,-97.6565,-9.93437,-1502.5,7,2,1
7,-60.5219,3.4371,-1502.5,7,2,1
8,-60.9078,-4.31708,-1502.5,7,2,1
9,-99.3744,-9.04973,-1502.5,7,2,1
10,-56.0065,-1.57407,-1502.5,7,2,1
11,-69.9266,2.8474,-1502.5,7,2,1
12,-59.5593,-3.0574,-1502.5,7,2,1
13,-99.1789,-10.5987,-1502.5,7,2,1
14,-65.3514,-1.15597,-1502.5,7,2,1
15,-82.3022,-14.477,-1502.5,7,2,1
16,-56.0773,-9.30345,-1502.5,7,2,1
17,-51.2345,2.71355,-1502.5,7,2,1
18,-62.6841,3.06631,-1502.5,7,2,1
19,-58.6776,-9.95949,-1502.5,7,2,1
20,-85.5667,-7.41133,-1502.5,7,2,1
21,-63.7609,1.57724,-1502.5,7,2,1
22,-121.562,-12.9029,-1502,7,2,2
23,-114.55,0.23492,-1502,7,2,2
24,-131.182,-9.44351,-1502,7,2,2
25,-132.436,-4.24588,-1502,7,2,2
26,-136.345,1.12934,-1502,7,2,2
27,-133.442,-0.488314,-1502,7,2,2
28,-153.448,-15.6246,-1498,7,2,3
29,-102.263,-20.3485,-1498,7,2,3
30,-139.429,-17.7583,-1498,7,2,3
31,-135.055,-17.4006,-1498,7,2,3
32,-121.24,-12.8988,-1498,7,2,3
33,-132.435,-24.2543,-1498,7,2,3
34,-139.581,-26.3618,-1498,7,2,3
35,-67.5892,-24.6854,-1498,7,2,4
36,-94.6731,-20.5436,-1498,7,2,4
37,-55.9281,-9.28777,-1498,7,2,4
38,-81.83,-14.0665,-1498,7,2,4
39,-72.9989,-16.3685,-1498,7,2,4
40,-82.0824,-14.4356,-1498,7,2,4
41,-32.1741,0.158281,-1498,7,2,4
42,-90.4428,-16.2371,-1498,7,2,4
43,-95.3495,-17.0037,-1498,7,2,4
44,-98.0893,-18.8441,-1498,7,2,4
45,-90.8927,-27.9791,-1498,7,2,4
46,-65.4541,-10.6878,-1498,7,2,4
47,-97.7673,-25.3679,-1498,7,2,4
48,-58.5252,-9.91128,-1498,7,2,4
49,-71.4521,-16.3057,-1498,7,2,4
50,-78.0096,-19.834,-1498,7,2,4
51,-97.2842,-18.3423,-1498,7,2,4
52,-66.0973,-20.7792,-1498,7,2,4
53,-65.1082,-23.9355,-1498,7,2,4
54,-55.4736,-12.9838,-1498,7,2,4
55,-122.866,-33.6491,-1502,7,2,5
56,-102.523,-20.4406,-1502,7,2,5
57,-139.957,-26.3759,-1502,7,2,5
58,-126.199,-31.5566,-1502,7,2,5
59,-132.819,-24.2789,-1502,7,2,5
60,-145.901,-29.3588,-1502,7,2,5
61,-85.2581,-30.2549,-1502,7,2,6
62,-72.2774,-28.1794,-1502,7,2,6
63,-75.7469,-35.6779,-1502,7,2,6
64,-47.8655,-28.0256,-1502,7,2,6
65,-86.4363,-41.6209,-1502,7,2,6
66,-67.7896,-24.751,-1502,7,2,6
67,-73.2293,-29.1149,-1502,7,2,6
68,-65.27,-23.978,-1502,7,2,6
69,-86.8001,-42.5834,-1502,7,2,6
70,-82.4802,-30.8361,-1502,7,2,6
71,-83.2255,-29.0882,-1502,7,2,6
72,-89.7379,-44.2333,-1502,7,2,6
73,-149.552,-50.8895,-1498,7,2,7
74,-115.411,-33.5093,-1498,7,2,7
75,-137.521,-38.9998,-1498,7,2,7
76,-155.238,-45.2542,-1498,7,2,7
77,-141.329,-55.6247,-1498,7,2,7
78,-121.957,-41.5351,-1498,7,2,7
79,-100.121,-43.1418,-1502,7,2,8
80,-122.163,-53.0932,-1502,7,2,8
81,-148.237,-57.1476,-1502,7,2,8
82,-122.927,-56.8192,-1502,7,2,8
83,-101.772,-43.1059,-1502,7,2,8
84,-146.493,-68.3724,-1502,7,2,8
85,-58.6033,-33.5372,-1497.5,7,2,9
86,-51.1183,-31.0615,-1497.5,7,2,9
87,-50.9393,-30.5412,-1497.5,7,2,9
88,-82.6476,-44.5332,-1497.5,7,2,9
89,-56.4638,-41.5501,-1497.5,7,2,9
90,-81.1964,-53.1878,-1497.5,7,2,9
91,-61.5691,-36.8793,-1497.5,7,2,9
92,-47.7255,-27.9268,-1497.5,7,2,9
93,-51.4659,-39.191,-1497.5,7,2,9
94,-73.0115,-53.6257,-1497.5,7,2,9
95,-71.387,-41.3124,-1497.5,7,2,9
96,-58.2586,-40.1283,-1497.5,7,2,9
97,-62.5673,-37.2958,-1497.5,7,2,9
98,-71.9478,-53.2084,-1497.5,7,2,9
99,-94.8864,-55.7989,-1498,7,2,10
100,-117.991,-71.1288,-1498,7,2,10
101,-124.101,-66.2335,-1498,7,2,10
102,-104.311,-67.0005,-1498,7,2,10
103,-96.9722,-60.0512,-1498,7,2,10
104,-134.871,-80.0734,-1498,7,2,10
105,-114.667,-67.2175,-1498,7,2,10
106,-115.675,-67.7212,-1498,7,2,10
107,-98.9584,-62.7028,-1498,7,2,10
108,-137.799,-85.5959,-1498,7,2,10
109,-98.2863,-65.2974,-1502,7,2,11
110,-130.622,-83.569,-1502,7,2,11
111,-109.593,-74.2548,-1502,7,2,11
112,-99.2153,-62.9034,-1502,7,2,11
113,-104.627,-67.1561,-1502,7,2,11
114,-98.5275,-75.9474,-1502,7,2,11
115,-97.2217,-60.2651,-1502,7,2,11
116,-118.295,-71.3064,-1502,7,2,11
117,-138.146,-85.8743,-1502,7,2,11
118,-95.162,-55.8777,-1502,7,2,11
119,-112.857,-82.0058,-1502,7,2,11
120,-56.5204,-55.7025,-1502.5,7,2,12
121,-57.3873,-50.2299,-1502.5,7,2,12
122,-56.659,-41.6516,-1502.5,7,2,12
123,-58.4647,-40.3006,-1502.5,7,2,12
124,-69.8154,-64.7897,-1502.5,7,2,12
125,-43.3077,-28.4074,-1502.5,7,2,12
126,-73.2453,-53.8449,-1502.5,7,2,12
127,-43.5611,-48.1528,-1502.5,7,2,12
128,-71.1225,-69.0623,-1502.5,7,2,12
129,-76.5356,-57.1812,-1502.5,7,2,12
130,-62.2081,-58.424,-1502.5,7,2,12
131,-72.1851,-53.3997,-1502.5,7,2,12
132,-42.8631,-45.9176,-1502.5,7,2,12
133,-65.4278,-56.2423,-1502.5,7,2,12
134,-40.9368,-45.3854,-1502.5,7,2,12
135,-52.785,-47.8114,-1502.5,7,2,12
136,-77.3509,-62.8091,-1502.5,7,2,12
137,-75.7386,-66.4952,-1502.5,7,2,12
138,-46.8029,-47.0421,-1502.5,7,2,12
139,-51.9334,-36.1031,-1502.5,7,2,12
140,-51.6214,-39.3217,-1502.5,7,2,12
141,-58.9942,-46.5392,-1502.5,7,2,12
142,-55.0946,-53.5978,-1502.5,7,2,12
143,-58.9026,-51.0637,-1502.5,7,2,12
144,-82.9888,-76.8095,-1498,7,2,13
145,-85.121,-74.0956,-1498,7,2,13
146,-97.3311,-83.1949,-1498,7,2,13
147,-114.358,-95.5607,-1498,7,2,13
148,-90.9892,-74.3542,-1498,7,2,13
149,-43.4674,-48.0067,-1498,7,2,14
150,-28.6672,-23.826,-1498,7,2,14
151,-34.9102,-42.2219,-1498,7,2,14
152,-54.9331,-53.4246,-1498,7,2,14
153,-53.3707,-70.7653,-1498,7,2,14
154,-46.6283,-46.9344,-1498,7,2,14
155,-41.7897,-53.3563,-1498,7,2,14
156,-39.1704,-53.6,-1498,7,2,14
157,-38.2466,-49.2848,-1498,7,2,14
158,-46.1895,-55.8902,-1498,7,2,14
159,-31.4959,-48.5407,-1498,7,2,14
160,-67.3384,-75.6481,-1498,7,2,14
161,-42.727,-45.754,-1498,7,2,14
162,-40.7931,-45.2605,-1498,7,2,14
163,-61.9586,-80.6664,-1498,7,2,14
164,-55.9801,-53.5512,-1498,7,2,14
165,-36.3477,-55.1971,-1498,7,2,14
166,-56.8726,-67.0127,-1498,7,2,14
167,-83.1592,-77.0427,-1502,7,2,15
168,-78.8151,-87.1236,-1502,7,2,15
169,-100.239,-93.9246,-1502,7,2,15
170,-85.3788,-74.2419,-1502,7,2,15
171,-76.5429,-81.3159,-1502,7,2,15
172,-71.3449,-77.6028,-1502,7,2,15
173,-69.9011,-77.7853,-1502,7,2,15
174,-77.9729,-97.3038,-1498,7,2,16
175,-97.5094,-127.875,-1498,7,2,16
176,-87.0404,-115.032,-1498,7,2,16
177,-80.3537,-95.7097,-1498,7,2,16
178,-78.584,-86.9259,-1498,7,2,16
179,-76.3494,-81.1043,-1498,7,2,16
180,-91.8954,-120.253,-1498,7,2,16
181,-92.3742,-123.804,-1498,7,2,16
182,-71.186,-77.3907,-1498,7,2,16
183,-81.204,-109.334,-1498,7,2,16
184,-82.6276,-104.318,-1498,7,2,16
185,-72.481,-87.1681,-1498,7,2,16
186,-102.542,-123.838,-1498,7,2,16
187,-103.653,-126.429,-1498,7,2,16
188,-69.7366,-77.6019,-1498,7,2,16
189,-99.1345,-124.275,-1498,7,2,16
190,-25.4648,-55.7654,-1502,7,2,17
191,-35.7308,-55.6757,-1502,7,2,17
192,-39.5224,-67.222,-1502,7,2,17
193,-31.6865,-58.5499,-1502,7,2,17
194,-33.2501,-70.1923,-1502,7,2,17
195,-35.0024,-42.334,-1502,7,2,17
196,-50.3456,-85.8408,-1502,7,2,17
197,-19.6187,-40.9066,-1502,7,2,17
198,-31.6238,-48.6867,-1502,7,2,17
199,-39.3,-53.749,-1502,7,2,17
200,-38.2172,-58.6805,-1502,7,2,17
201,-47.9501,-74.1805,-1502,7,2,17
202,-38.2972,-74.0264,-1502,7,2,17
203,-41.893,-53.4828,-1502,7,2,17
204,-57.8676,-83.4744,-1502,7,2,17
205,-29.5811,-52.9131,-1502,7,2,17
206,-36.3996,-55.3318,-1502,7,2,17
207,-55.9693,-80.6637,-1502,7,2,17
208,-38.3554,-49.4325,-1502,7,2,17
209,-49.2034,-88.0917,-1502,7,2,17
210,-19.9862,-47.9735,-1502,7,2,17
211,-40.8156,-62.0596,-1502,7,2,17
212,-23.1943,-52.5387,-1502,7,2,17
213,-28.4483,-60.7296,-1502,7,2,17
214,-50.5423,-78.7933,-1502,7,2,17
215,-53.161,-91.4517,-1502,7,2,18
216,-82.1264,-129.224,-1502,7,2,18
217,-78.2292,-127.013,-1502,7,2,18
218,-94.6552,-132.952,-1502,7,2,18
219,-69.7959,-103.261,-1502,7,2,18
220,-81.3642,-128.996,-1502,7,2,18
221,-87.2357,-115.36,-1502,7,2,18
222,-92.2201,-120.537,-1502,7,2,18
223,-88.4085,-124.239,-1502,7,2,18
224,-58.5889,-93.8017,-1502,7,2,18
225,-60.0214,-96.9545,-1502,7,2,18
226,-81.4056,-109.68,-1502,7,2,18
227,-72.1299,-115.958,-1502,7,2,18
228,-97.7519,-128.235,-1502,7,2,18
229,-54.697,-92.4553,-1502,7,2,18
230,-66.4711,-103.539,-1502,7,2,18
231,-70.7051,-109.366,-1502,7,2,18
232,-102.897,-137.869,-1502,7,2,18
233,-61.7822,-92.9779,-1502,7,2,18
234,-56.5306,-88.9389,-1502,7,2,18
235,-92.6276,-124.116,-1502,7,2,18
236,-51.344,-97.8829,-1498,7,2,19
237,-80.3822,-132.446,-1498,7,2,19
238,-58.4308,-93.5492,-1498,7,2,19
239,-66.257,-103.284,-1498,7,2,19
240,-80.0277,-150.716,-1498,7,2,19
241,-75.9806,-144.169,-1498,7,2,19
242,-86.0893,-150.501,-1498,7,2,19
243,-78.0702,-126.651,-1498,7,2,19
244,-52.9703,-91.2466,-1498,7,2,19
245,-54.5503,-92.2337,-1498,7,2,19
246,-56.3658,-88.7114,-1498,7,2,19
247,-49.6714,-106.08,-1498,7,2,19
248,-66.6476,-129.365,-1498,7,2,19
249,-59.9257,-96.6441,-1498,7,2,19
250,-74.7036,-138.315,-1498,7,2,19
251,-71.939,-115.643,-1498,7,2,19
252,-85.4523,-152.337,-1498,7,2,19
253,-29.4548,-52.7531,-1497.5,7,2,20
254,-26.5607,-76.6009,-1497.5,7,2,20
255,-17.1462,-56.8773,-1497.5,7,2,20
256,-25.383,-55.5965,-1497.5,7,2,20
257,-20.0809,-54.163,-1497.5,7,2,20
258,-33.1284,-69.9839,-1497.5,7,2,20
259,-23.1309,-52.3805,-1497.5,7,2,20
260,-26.0695,-61.8268,-1497.5,7,2,20
261,-29.2071,-91.3517,-1497.5,7,2,20
262,-24.2932,-43.4275,-1497.5,7,2,20
263,-31.6195,-58.3711,-1497.5,7,2,20
264,-20.9063,-55.5025,-1497.5,7,2,20
265,-25.861,-60.1475,-1497.5,7,2,20
266,-30.8279,-83.1137,-1497.5,7,2,20
267,-38.1729,-73.8002,-1497.5,7,2,20
268,-28.3424,-60.52,-1497.5,7,2,20
269,-28.0597,-71.5964,-1497.5,7,2,20
270,-19.9373,-47.8062,-1497.5,7,2,20
271,-23.9848,-59.0149,-1497.5,7,2,20
272,-28.1409,-87.21,-1497.5,7,2,20
273,-14.6932,-56.051,-1497.5,7,2,20
274,-22.7548,-59.1814,-1497.5,7,2,20
275,-40.3154,-90.3399,-1497.5,7,2,20
276,-50.2989,-119.425,-1502,7,2,21
277,-69.2962,-161.212,-1502,7,2,21
278,-51.5076,-98.1476,-1502,7,2,21
279,-49.7822,-106.371,-1502,7,2,21
280,-73.7631,-153.874,-1502,7,2,21
281,-64.2566,-158.587,-1502,7,2,21
282,-45.1851,-156.448,-1498,7,2,22
283,-50.0979,-142.231,-1498,7,2,22
284,-35.9493,-110.956,-1498,7,2,22
285,-34.4743,-101.992,-1498,7,2,22
286,-44.9994,-145.195,-1498,7,2,22
287,-51.1872,-139.112,-1498,7,2,22
288,-51.0987,-157.728,-1498,7,2,22
289,-55.4227,-149.547,-1498,7,2,22
290,-53.3065,-148.268,-1498,7,2,22
291,-57.6115,-163.944,-1498,7,2,22
292,-20.9569,-55.6998,-1502.5,7,2,23
293,-20.1648,-54.3281,-1502.5,7,2,23
294,-10.8055,-79.5987,-1502.5,7,2,23
295,-23.1317,-94.9195,-1502.5,7,2,23
296,-6.5896,-58.3971,-1502.5,7,2,23
297,-17.1725,-57.0712,-1502.5,7,2,23
298,-28.2327,-87.5051,-1502.5,7,2,23
299,-9.37127,-66.985,-1502.5,7,2,23
300,-22.2536,-82.5194,-1502.5,7,2,23
301,-14.5827,-65.5603,-1502.5,7,2,23
302,-15.8605,-61.0306,-1502.5,7,2,23
303,-14.0582,-67.0167,-1502.5,7,2,23
304,-19.2519,-68.9453,-1502.5,7,2,23
305,-22.201,-82.1369,-1502.5,7,2,23
306,-14.7536,-56.2057,-1502.5,7,2,23
307,-16.7053,-70.5463,-1502.5,7,2,23
308,-10.1236,-60.052,-1502.5,7,2,23
309,-29.328,-91.639,-1502.5,7,2,23
310,-5.65554,-57.2908,-1502.5,7,2,23
311,-19.9713,-47.9534,-1502.5,7,2,23
312,-26.6512,-76.8481,-1502.5,7,2,23
